planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
CoRoT-6 b,Confirmed,2.96,0.34,0.34,1.166,0.035,0.035,8.886593,4e-06,4e-06,0.0855,2009,2013-06-05,Published in a refereed paper,Primary Transit,unkown,CoRoT-6,281.075,6.6633333,12.782,12.386,317.83,3.73,3.73,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,6090.0,70.0,70.0,unkown
CoRoT-7 Ab,Confirmed,0.01907,0.00205,0.00205,0.136,0.021,0.021,0.8535,6e-07,6e-07,0.0172,2009,2024-08-06,Published in a refereed paper,Primary Transit,unkown,CoRoT-7 A,100.9541667,-1.0627778,12.782,12.386,150.0,20.0,20.0,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,5313.0,73.0,73.0,"GSC 04799-01733, 2MASS J06434947-0103468"
CoRoT-7 Ac,Confirmed,0.041812,0.002168,0.002168,0.232,0.021,0.021,3.697,0.005,0.005,0.046,2009,2024-08-06,Published in a refereed paper,Radial Velocity,unkown,CoRoT-7 A,100.9541667,-1.0627778,12.782,12.386,150.0,20.0,20.0,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,5313.0,73.0,73.0,"GSC 04799-01733, 2MASS J06434947-0103468"
CoRoT-7 Ad,Confirmed,0.053935,0.008029,0.008029,0.232,0.021,0.021,8.966,1.1546,1.1546,0.08,2010,2024-08-06,Published in a refereed paper,Radial Velocity,unkown,CoRoT-7 A,100.9541667,-1.0627778,12.782,12.386,150.0,20.0,20.0,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,5313.0,73.0,73.0,"GSC 04799-01733, 2MASS J06434947-0103468"
CoRoT-8 b,Confirmed,0.2158,0.034,0.034,0.5692,0.0196,0.0196,6.21229,3e-05,3e-05,0.063,2010,2018-11-20,Published in a refereed paper,Primary Transit,unkown,CoRoT-8,291.5875,1.4266667,12.782,12.386,380.0,100.0,100.0,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,5080.0,80.0,80.0,unkown
CoRoT-9 Ab,Confirmed,0.84,0.07,0.07,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,2010,2024-08-03,Published in a refereed paper,Primary Transit,unkown,CoRoT-9 A,280.7875,6.2041667,12.782,12.386,460.0,3.73,3.73,-0.01,0.006,0.006,0.99,0.04,0.04,0.94,0.04,0.04,5625.0,80.0,80.0,unkown
CPD-56 5307 b,Confirmed,46.5,3.3,3.3,0.232,0.021,0.021,11.456085,0.000107,0.000107,1368.0,2022,2024-10-24,Published in a refereed paper,"Imaging, Astrometry",unkown,CPD-56 5307,188.39088506567,-57.23515659496,8.947,8.398,101.292154,4.0,4.0,0.01,0.1,0.1,1.0,0.052,0.052,1.155,0.055,0.055,4731.81,100.0,100.0,2MASS J12333381-5714066
CP Eri b,Confirmed,35.0,0.11,0.11,0.54,0.021,0.021,0.01968,0.000107,0.000107,0.001246,1992,2024-09-04,Published in a refereed paper,"Timing, Other",unkown,CP Eri,47.63653241204,-9.75171623049,12.782,12.386,804.0,3.73,3.73,-1.3,0.1,0.1,0.75,0.052,0.052,0.0146,0.055,0.055,17000.0,1000.0,1000.0,PHL 1457
CRTS J071126.0+440405 (AB)b,Confirmed,6.8,0.7,0.7,0.232,0.021,0.021,4109.0,362.0,362.0,0.12,2024,2024-05-28,Published in a refereed paper,Timing,"*V808 Aur (AB)b, CSS081231 J071126+440405 (AB)b",CRTS J071126.0+440405,107.85833333333332,44.06805555555555,12.782,12.386,214.0,4.0,4.0,0.01,0.1,0.1,0.9,0.1,0.1,0.95,0.055,0.055,5531.0,100.0,100.0,"*V808 Aur, CSS081231 J071126+440405"
CRTS J1122-1110 b,Confirmed,14.0,5.0,5.0,0.232,0.021,0.021,0.0453,0.000107,0.000107,0.00235,2012,2024-07-13,Published in a refereed paper,Timing,CRTS J112253.3-111037 b,CRTS J1122-1110,170.72221916642,-11.17708610609,12.782,12.386,345.0,3.73,3.73,0.01,0.1,0.1,0.83,0.23,0.23,0.01,0.055,0.055,10400.0,300.0,300.0,CRTS J112253.3-111037
